"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"1","Tamstore Khatai","Mandarin kq","2.25","2.59","13%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/5ee2e6fe-8e44-11f0-aeb7-26c3086e9ef5_122002.jpg","images/mandarin_kq_0.jpg"
"2","Tamstore Khatai","Portağal kq","1.65","1.94","15%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/58623028-8e44-11f0-b34b-d6bd7deb8ae0_121934.jpg","images/porta_al_kq_1.jpg"
"3","Tamstore Khatai","Kök kq","0.65","0.79","18%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/512d18b8-8e44-11f0-8213-ce01291c54f2_121856.jpg","images/k_k_kq_2.jpg"
"4","Tamstore Khatai","Mercan Təzə Toyuq Filesi kq","7.99","9.60","17%","No image",""
"5","Tamstore Khatai","Pomidor Salxım Kq","2.25","2.68","16%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/55d8c312-8e44-11f0-948b-d6bd7deb8ae0_121920.jpg","images/pomidor_salx_m_kq_4.jpg"
"6","Tamstore Khatai","Gül Kələm kq","1.49","1.74","14%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/43eddd34-8e50-11f0-afc0-fed265204af6_121942.jpg","images/g_l_k_l_m_kq_5.jpg"
"7","Tamstore Khatai","Alma Fuji Super kq","1.69","1.94","13%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/440369f6-8e50-11f0-a483-f266dbd47941_122015.jpg","images/alma_fuji_super_kq_6.jpg"
"8","Tamstore Khatai","Yerli Limon 1əd.","0.27","0.39","31%","No image",""
"9","Tamstore Khatai","Xiyar Patron kq","3.19","3.69","14%","No image",""
"10","Tamstore Khatai","Çuğundur kq","0.68","0.79","14%","No image",""
"11","Tamstore Khatai","Xiyar Melit kq","2.78","3.78","26%","No image",""
"12","Tamstore Khatai","Hicaz Təzə File Açıq kq","7.28","10.06","28%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/61df520c-8e44-11f0-88ed-4a1735d555ce_123258.jpg","images/hicaz_t_z__file_a__q_kq_11.jpg"
